clause,actor,anno
439655,688360,y
439658,688364,y
439659,688369,y
439660,688374,y
439661,688375,y
439663,688382,y
439665,688389,y
439666,688392,y
439667,688396,y
439668,688401,y
439669,688406,y
439670,688410,y
439671,688415,y
439678,688441,y
439684,688458,y
439686,688465,y
439689,688473,y
439699,688505,y
439701,688510,y
439702,688513,y
439714,688539,y
439715,688542,y
439718,688552,y
439719,688556,y
439729,688581,y
439741,688616,y
439743,688622,y
439745,688626,y
439746,688630,y
439749,688635,y
439751,688639,y
439755,688648,y
439756,688652,y
439758,688657,y
439760,688663,y
439763,688671,y
439765,688675,y
439766,688679,y
439768,688684,y
439769,688687,y
439770,688688,y
439773,688698,y
439775,688700,y
439777,688708,y
439778,688713,y
439780,688720,y
439781,688721,y
439782,688725,y
439786,688739,y
439791,688752,y
439793,688759,y
439796,688771,y
439803,688797,y
439804,688799,y
439805,688802,y
439814,688827,y
439829,688866,y
439830,688870,y
439840,688896,y
439842,688905,y
439843,688902,y
439844,688907,y
439845,688911,y
439846,688915,y
439847,688919,y
439850,688926,y
439855,688941,y
439857,688946,y
439858,688950,y
439861,688962,y
439865,688974,y
439866,688978,y
439879,689020,y
439891,689059,y
439897,689082,y
439898,689085,y
439904,689105,y
439910,689123,y
439911,689128,y
439912,689133,y
439914,689138,y
439915,689140,y
439926,689170,y
439930,689184,y
439939,689213,y
439948,689237,y
439949,689242,y
439950,689246,y
439951,689251,y
439952,689256,y
439953,689258,y
439954,689261,y
439955,689267,y
439956,689270,y
439957,689273,y
439958,689277,y
439959,689281,y
439965,689297,y
439966,689301,y
439967,689305,y
439973,689320,y
439982,689344,y
439997,689383,y
439999,689388,y
440002,689398,y
440003,689405,y
440007,689414,y
440011,689423,y
440016,689438,y
440020,689447,y
440021,689450,y
440022,689452,y
440024,689462,y
440025,689465,y
440029,689474,y
440033,689482,y
440035,689487,y
440039,689500,y
440040,689502,y
440043,689513,y
440048,689529,y
440051,689537,y
440052,689541,y
440054,689549,y
440056,689556,y
440057,689558,y
440060,689567,y
440065,689581,y
440070,689596,y
440076,689613,y
440077,689615,y
440083,689637,y
440084,689641,y
440086,689648,y
440087,689654,y
440091,689663,y
440094,689671,y
440096,689675,y
440098,689678,y
440103,689692,y
440106,689702,y
440108,689709,y
440110,689716,y
440113,689724,y
440115,689730,y
440116,689733,y
440117,689737,y
440119,689743,y
440126,689759,y
440134,689782,y
440137,689789,y
440142,689804,y
440144,689809,y
440150,689826,y
440151,689829,y
440157,689844,y
440177,689900,y
440188,689934,y
440190,689937,y
440194,689950,y
440208,689997,y
440209,690001,y
440210,690006,y
440211,690009,y
440212,690012,y
440215,690020,y
440221,690033,y
440222,690037,y
440224,690047,y
440228,690056,y
440229,690059,y
440234,690072,y
440235,690078,y
440239,690093,y
440241,690102,y
440252,690134,y
440253,690138,y
440254,690142,y
440261,690161,y
440264,690168,y
440265,690170,y
440287,690231,y
440295,690254,y
440296,690258,y
440297,690261,y
440298,690265,y
440299,690271,y
440301,690275,y
440307,690294,y
440310,690303,y
440313,690311,y
440314,690315,y
440318,690324,y
440323,690343,y
440329,690369,y
440330,690366,y
440331,690371,y
440332,690375,y
440341,690397,y
440346,690412,y
440347,690415,y
440356,690445,y
440360,690457,y
440369,690479,y
440371,690487,y
440376,690501,y
440378,690507,y
440380,690510,y
440383,690521,y
440391,690550,y
440392,690552,y
440397,690567,y
440398,690570,y
440400,690579,y
440402,690586,y
440403,690591,y
440406,690601,y
440408,690609,y
440411,690618,y
440422,690653,y
440424,690660,y
440428,690670,y
440429,690675,y
440430,690681,y
440438,690701,y
440443,690710,y
440445,690717,y
440446,690715,y
440448,690722,y
440454,690737,y
440456,690746,y
440457,690744,y
440459,690748,y
440464,690765,y
440465,690769,y
440467,690777,y
440473,690794,y
440476,690806,y
440477,690809,y
440480,690822,y
440481,690825,y
440482,690829,y
440493,690867,y
440503,690896,y
440504,690900,y
440510,690917,y
440511,690921,y
440512,690924,y
440514,690928,y
440515,690931,y
440516,690934,y
440517,690938,y
440518,690942,y
440519,690947,y
440527,690971,y
440533,690991,y
440534,690994,y
440543,691029,y
440545,691035,y
440548,691044,y
440554,691063,y
440555,691067,y
440558,691078,y
440560,691085,y
440564,691097,y
440573,691124,y
440581,691151,y
440589,691178,y
440592,691185,y
440595,691197,y
440596,691203,y
440598,691208,y
440599,691211,y
440610,691249,y
440612,691256,y
440618,691271,y
440621,691279,y
440624,691285,y
440626,691292,y
440630,691304,y
440636,691323,y
440637,691326,y
440638,691330,y
440646,691353,y
440649,691365,y
440651,691371,y
440656,691390,y
440660,691407,y
440669,691431,y
440670,691436,y
440671,691439,y
440676,691460,y
440679,691469,y
440681,691478,y
440683,691487,y
440684,691490,y
440687,691502,y
440688,691505,y
440691,691517,y
440692,691519,y
440698,691542,y
440700,691549,y
440701,691552,y
440707,691575,y
440710,691585,y
440711,691588,y
440714,691598,y
440716,691607,y
440719,691612,y
440722,691622,y
440723,691627,y
440724,691630,y
440727,691643,y
440728,691646,y
440732,691661,y
440733,691667,y
440734,691671,y
440735,691674,y
440736,691677,y
440742,691704,y
440745,691713,y
440747,691719,y
440749,691728,y
440755,691753,y
440758,691763,y
440759,691766,y
440760,691769,y
440762,691777,y
440763,691781,y
440765,691789,y
440766,691794,y
440768,691800,y
440769,691803,y
440782,691843,y
440783,691850,y
440800,691908,y
440818,691962,y
440819,691963,y
440822,691974,y
440826,691987,y
439848,688921,y
440105,689698,y
440333,690377,y
