clause,phr,Inst
439650,688348,y
439651,688350,y
439652,688351,y
439653,688354,y
439655,688360,y
439656,688361,y
439658,688364,y
439659,688369,y
439660,688374,y
439661,688375,y
439663,688382,y
439665,688389,y
439666,688393,y
439667,688396,y
439668,688401,y
439669,688406,y
439670,688410,y
439671,688415,y
439672,688421,y
439674,688430,y
439677,688436,y
439678,688441,y
439679,688442,y
439683,688455,y
439684,688458,y
439685,688462,y
439686,688465,y
439689,688474,y
439690,688477,y
439692,688483,y
439693,688485,y
439694,688489,y
439695,688497,y
439699,688505,y
439701,688510,y
439702,688513,y
439706,688521,y
439707,688525,y
439711,688531,y
439713,688536,y
439714,688539,y
439715,688542,y
439718,688552,y
439719,688556,y
439721,688562,y
439722,688564,y
439723,688565,y
439724,688568,y
439726,688577,y
439728,688586,y
439729,688582,y
439730,688590,y
439731,688592,y
439732,688595,y
439733,688596,y
439735,688601,y
439736,688606,y
439740,688615,y
439741,688616,y
439743,688622,y
439745,688626,y
439746,688630,y
439749,688635,y
439751,688639,y
439755,688648,y
439756,688652,y
439758,688657,y
439760,688663,y
439761,688666,y
439763,688671,y
439765,688675,y
439766,688679,y
439768,688684,y
439769,688687,y
439770,688688,y
439773,688698,y
439775,688700,y
439776,688707,y
439777,688708,y
439778,688713,y
439780,688720,y
439781,688721,y
439782,688725,y
439784,688732,y
439786,688739,y
439789,688748,y
439791,688752,y
439793,688760,y
439795,688766,y
439796,688771,y
439797,688775,y
439798,688779,y
439800,688788,y
439803,688797,y
439804,688799,y
439805,688802,y
439808,688809,y
439810,688815,y
439811,688818,y
439812,688820,y
439814,688827,y
439816,688833,y
439817,688835,y
439818,688836,y
439819,688839,y
439824,688851,y
439826,688855,y
439827,688860,y
439829,688866,y
439830,688870,y
439839,688891,y
439840,688896,y
439842,688905,y
439843,688902,y
439844,688907,y
439845,688911,y
439846,688915,y
439847,688919,y
439848,688921,y
439850,688926,y
439851,688929,y
439852,688932,y
439854,688937,y
439855,688941,y
439857,688946,y
439858,688950,y
439860,688957,y
439861,688962,y
439864,688970,y
439865,688974,y
439866,688978,y
439867,688981,y
439868,688984,y
439872,688997,y
439874,689005,y
439878,689017,y
439879,689020,y
439880,689024,y
439881,689029,y
439883,689034,y
439891,689059,y
439892,689065,y
439893,689070,y
439895,689076,y
439896,689079,y
439897,689082,y
439898,689085,y
439903,689103,y
439904,689105,y
439906,689111,y
439907,689114,y
439908,689117,y
439909,689119,y
439910,689123,y
439911,689128,y
439912,689133,y
439914,689138,y
439915,689140,y
439916,689144,y
439918,689150,y
439921,689157,y
439922,689162,y
439926,689170,y
439930,689184,y
439936,689204,y
439939,689213,y
439940,689217,y
439941,689220,y
439943,689226,y
439944,689228,y
439945,689231,y
439948,689237,y
439949,689243,y
439950,689247,y
439951,689251,y
439952,689256,y
439953,689258,y
439954,689261,y
439955,689267,y
439956,689270,y
439957,689273,y
439958,689277,y
439959,689281,y
439960,689284,y
439961,689286,y
439963,689292,y
439964,689294,y
439965,689297,y
439966,689301,y
439967,689305,y
439970,689313,y
439971,689316,y
439973,689320,y
439975,689324,y
439976,689329,y
439979,689335,y
439980,689338,y
439982,689349,y
439983,689346,y
439987,689358,y
439989,689364,y
439992,689370,y
439993,689375,y
439997,689383,y
439999,689388,y
440002,689398,y
440003,689405,y
440005,689409,y
440006,689411,y
440007,689414,y
440011,689423,y
440016,689438,y
440019,689444,y
440020,689447,y
440021,689450,y
440022,689453,y
440024,689462,y
440025,689465,y
440028,689471,y
440029,689474,y
440033,689482,y
440035,689487,y
440037,689491,y
440038,689494,y
440039,689500,y
440040,689503,y
440042,689510,y
440043,689514,y
440044,689518,y
440046,689523,y
440048,689530,y
440051,689537,y
440052,689541,y
440054,689549,y
440055,689553,y
440056,689556,y
440057,689558,y
440060,689567,y
440065,689581,y
440067,689587,y
440068,689589,y
440069,689592,y
440070,689596,y
440076,689613,y
440077,689615,y
440079,689620,y
440080,689626,y
440083,689637,y
440084,689642,y
440086,689648,y
440087,689654,y
440088,689651,y
440091,689664,y
440094,689671,y
440096,689675,y
440097,689676,y
440098,689679,y
440103,689692,y
440105,689698,y
440106,689702,y
440107,689706,y
440108,689709,y
440109,689713,y
440110,689716,y
440113,689726,y
440115,689730,y
440116,689733,y
440117,689737,y
440119,689743,y
440120,689746,y
440121,689748,y
440122,689749,y
440123,689751,y
440124,689758,y
440126,689759,y
440127,689767,y
440132,689781,y
440134,689782,y
440136,689788,y
440137,689789,y
440138,689791,y
440139,689794,y
440140,689798,y
440142,689804,y
440144,689809,y
440145,689812,y
440146,689816,y
440147,689818,y
440148,689819,y
440150,689826,y
440151,689830,y
440153,689834,y
440156,689839,y
440157,689844,y
440161,689863,y
440166,689868,y
440168,689875,y
440170,689879,y
440174,689890,y
440176,689897,y
440177,689900,y
440178,689905,y
440180,689910,y
440182,689917,y
440185,689923,y
440188,689934,y
440190,689937,y
440191,689941,y
440192,689945,y
440194,689950,y
440195,689954,y
440197,689959,y
440200,689969,y
440201,689984,y
440204,689980,y
440205,689988,y
440207,689993,y
440208,689997,y
440209,690001,y
440210,690006,y
440211,690009,y
440212,690012,y
440213,690015,y
440215,690020,y
440216,690023,y
440217,690025,y
440218,690026,y
440219,690029,y
440221,690033,y
440222,690037,y
440224,690047,y
440228,690056,y
440229,690059,y
440234,690072,y
440235,690078,y
440237,690084,y
440239,690093,y
440240,690098,y
440241,690102,y
440245,690115,y
440246,690117,y
440252,690134,y
440253,690138,y
440254,690142,y
440258,690152,y
440259,690155,y
440261,690161,y
440264,690168,y
440265,690170,y
440268,690180,y
440269,690182,y
440270,690183,y
440271,690186,y
440273,690190,y
440278,690204,y
440281,690212,y
440284,690222,y
440286,690229,y
440287,690231,y
440289,690239,y
440290,690242,y
440291,690244,y
440292,690245,y
440293,690248,y
440294,690251,y
440295,690255,y
440296,690258,y
440297,690261,y
440298,690265,y
440299,690271,y
440300,690273,y
440301,690275,y
440303,690282,y
440306,690292,y
440307,690294,y
440309,690300,y
440310,690303,y
440312,690308,y
440313,690311,y
440314,690315,y
440318,690324,y
440321,690335,y
440323,690343,y
440325,690354,y
440327,690361,y
440329,690369,y
440330,690366,y
440331,690371,y
440332,690375,y
440333,690377,y
440335,690383,y
440336,690385,y
440337,690386,y
440338,690388,y
440340,690395,y
440341,690397,y
440342,690402,y
440343,690404,y
440346,690412,y
440347,690415,y
440348,690421,y
440350,690426,y
440352,690433,y
440355,690441,y
440356,690445,y
440357,690450,y
440360,690457,y
440362,690464,y
440363,690466,y
440364,690467,y
440365,690469,y
440368,690477,y
440369,690479,y
440371,690487,y
440373,690494,y
440375,690498,y
440376,690501,y
440378,690507,y
440379,690512,y
440380,690510,y
440383,690521,y
440384,690526,y
440385,690530,y
440387,690537,y
440391,690550,y
440392,690552,y
440394,690559,y
440395,690564,y
440396,690566,y
440397,690567,y
440398,690570,y
440399,690573,y
440400,690579,y
440402,690586,y
440403,690591,y
440404,690594,y
440406,690601,y
440408,690609,y
440411,690618,y
440414,690627,y
440417,690637,y
440419,690645,y
440420,690648,y
440421,690651,y
440422,690653,y
440424,690660,y
440425,690662,y
440426,690667,y
440427,690669,y
440428,690670,y
440429,690675,y
440430,690681,y
440431,690684,y
440432,690685,y
440434,690688,y
440437,690694,y
440438,690701,y
440440,690704,y
440443,690710,y
440445,690717,y
440446,690715,y
440448,690722,y
440449,690726,y
440454,690737,y
440456,690746,y
440457,690744,y
440459,690748,y
440463,690762,y
440464,690765,y
440465,690769,y
440466,690774,y
440467,690777,y
440468,690781,y
440469,690784,y
440470,690785,y
440471,690788,y
440472,690791,y
440473,690795,y
440475,690802,y
440476,690806,y
440477,690809,y
440479,690818,y
440480,690822,y
440481,690825,y
440482,690829,y
440488,690847,y
440489,690849,y
440491,690859,y
440492,690863,y
440493,690867,y
440494,690871,y
440496,690880,y
440498,690886,y
440502,690893,y
440503,690896,y
440504,690900,y
440507,690909,y
440508,690912,y
440510,690917,y
440511,690921,y
440512,690924,y
440514,690928,y
440515,690931,y
440516,690934,y
440517,690938,y
440518,690943,y
440519,690947,y
440523,690957,y
440524,690961,y
440525,690963,y
440527,690971,y
440528,690974,y
440530,690982,y
440531,690984,y
440532,690988,y
440533,690991,y
440534,690994,y
440535,690999,y
440536,691003,y
440537,691006,y
440538,691011,y
440539,691012,y
440543,691029,y
440545,691035,y
440546,691039,y
440548,691044,y
440552,691057,y
440553,691060,y
440554,691063,y
440555,691067,y
440556,691070,y
440557,691076,y
440558,691078,y
440560,691085,y
440561,691089,y
440562,691092,y
440564,691097,y
440573,691124,y
440574,691128,y
440578,691143,y
440581,691151,y
440582,691155,y
440588,691175,y
440589,691178,y
440592,691185,y
440595,691197,y
440596,691203,y
440598,691208,y
440599,691211,y
440603,691226,y
440605,691233,y
440606,691238,y
440607,691240,y
440608,691244,y
440610,691249,y
440612,691256,y
440618,691271,y
440621,691279,y
440624,691285,y
440626,691292,y
440628,691299,y
440630,691304,y
440636,691324,y
440637,691327,y
440638,691330,y
440640,691335,y
440641,691337,y
440646,691353,y
440648,691362,y
440649,691365,y
440651,691371,y
440653,691382,y
440656,691390,y
440658,691396,y
440659,691402,y
440660,691407,y
440661,691409,y
440663,691415,y
440666,691423,y
440667,691426,y
440668,691428,y
440669,691431,y
440670,691436,y
440671,691440,y
440674,691452,y
440676,691460,y
440677,691464,y
440679,691469,y
440680,691475,y
440681,691478,y
440682,691481,y
440683,691487,y
440684,691492,y
440685,691495,y
440686,691499,y
440687,691502,y
440688,691505,y
440689,691508,y
440690,691512,y
440691,691517,y
440692,691519,y
440694,691528,y
440698,691542,y
440700,691549,y
440701,691552,y
440702,691558,y
440703,691562,y
440706,691573,y
440707,691575,y
440708,691578,y
440709,691582,y
440710,691585,y
440711,691588,y
440712,691591,y
440713,691596,y
440714,691598,y
440716,691607,y
440717,691609,y
440719,691612,y
440720,691618,y
440721,691621,y
440722,691622,y
440723,691627,y
440724,691630,y
440727,691643,y
440728,691648,y
440729,691652,y
440731,691658,y
440732,691661,y
440733,691667,y
440734,691671,y
440735,691674,y
440736,691677,y
440739,691689,y
440740,691694,y
440741,691700,y
440742,691704,y
440743,691707,y
440744,691710,y
440745,691713,y
440747,691719,y
440748,691724,y
440749,691728,y
440750,691732,y
440752,691740,y
440753,691743,y
440754,691747,y
440755,691753,y
440756,691757,y
440757,691761,y
440758,691763,y
440759,691766,y
440760,691769,y
440762,691777,y
440763,691781,y
440764,691785,y
440765,691789,y
440768,691800,y
440769,691803,y
440782,691843,y
440783,691850,y
440784,691852,y
440785,691855,y
440787,691860,y
440792,691879,y
440796,691891,y
440797,691895,y
440798,691900,y
440799,691904,y
440800,691908,y
440802,691917,y
440807,691933,y
440809,691938,y
440810,691941,y
440818,691962,y
440819,691963,y
440822,691974,y
440826,691987,y
