lex,new_Aktionsart,class,comment
QDC[,sta,CULTIC,causative
ZRH[,sta,LOCATION,causative. Probably transfer
<NH=[,sta,PSYCHOLOGICAL,causative
BQC[,act,,Probably denotes a movement towards the soothsayers
XCB[,act,,
CXT[,sta,EXTINCTION,causative
<LL[,sta,TRANSFER,Probably a transfer like other verbs describing harverst
QVR[,sta,CULTIC,causative
PDH[,sta,TRANSFER,causative
CQY[,sta,CULTIC,
NZR[,sta,CULTIC,
M<V[,sta,EXISTENTIAL,
CLM[,sta,EXISTENTIAL,
NWX[,sta,LOCATION,
KN<[,sta,PSYCHOLOGICAL,
DBR[,act,COMMUNICATION,
XZQ[,sta,,
QLL[,act,COMMUNICATION,
KXC[,act,COMMUNICATION,
CKL[,sta,EXISTENTIAL,causative
NWP[,act,MOTION,
GLX[,act,EXTINCTION,causative
RBH[,sta,EXISTENTIAL,
C>R[,sta,EXISTENTIAL,
<LM[,sta,EXISTENTIAL,causative
RWX[,act,PERCEPTION,
<NN[,act,,
JYQ[,sta,stop,
YWH[,act,COMMUNICATION,
CMD[,sta,EXTINCTION,
SLX[,sta,,
BDL[,sta,CREATION,
NFG[,sta,,
PRH[,sta,EXISTENTIAL,
KBS[,sta,PHYSICAL CONDITION,
KLH[,sta,EXISTENTIAL,Or extinction
NXL[,sta,TRANSFER,The verb is about possession.
CLX[,act,MOTION,causative
GLH[,sta,PHYSICAL CONDITION,causative
CB<[,act,COMMUNICATION,
XLL[,sta,CULTIC,
LQV[,sta,TRANSFER,Probably transfer like other verbs for harvest
KSH[,sta,APPEARENCE,causative
RWM[,sta,LOCATION,Here the verb has a technical sense of presenting to Jahwe
XRP=[,sta,,
<RH[,sta,PHYSICAL CONDITION,causative
NQP[,act,MOTION,
PRR[,sta,EXTINCTION,Causative
RYH[,sta,PSYCHOLOGICAL,
RJQ[,act,MOTION,causative
XPC[,sta,EXISTENTIAL,
MQQ[,sta,PSYCHOLOGICAL,
JSR[,sta,COGNITIVE,causative in Piel
NYH[,act,SOCIAL INTERACTION,
JTR[,sta,EXISTENTIAL,
NKH[,act,SOCIAL INTERACTION,Probably semelfactive
JLD[,act,EXISTENTIAL,
NGP[,act,,
CQR[,act,COMMUNICATION,
KPR[,act,,
JNH[,sta,SOCIAL INTERACTION,Could also be causative
KRT[,sta,TRANSFER,Means remove. Causative
NXC[,act,CULTIC,
DWB[,sta,PSYCHOLOGICAL,
JKX[,act,COMMUNICATION,
XWH[,act,MOTION,Active accomplishment
JDH[,act,COMMUNICATION,
PL>[,sta,ABSTRACT,causative
