,0
<BR[_hif,caus
<BR[_hof,caus
<BR[_nif,
<BR[_qal,
<LH[_hif,caus
<LH[_hof,caus
<LH[_nif,
<LH[_qal,
>BD[_hif,caus
>BD[_hof,caus
>BD[_nif,
>BD[_qal,
BW>[_hif,caus
BW>[_hof,caus
BW>[_nif,
BW>[_qal,
CBT[_hif,caus
CBT[_hof,caus
CBT[_nif,
CBT[_qal,
CKL[_nif,
CKL[_piel,caus
CKL[_pual,caus
CKL[_qal,
CLM[_nif,
CLM[_piel,caus
CLM[_pual,caus
CLM[_qal,
CLX[_hif,caus
CLX[_piel,caus
CLX[_qal,caus
CMM[_hif,caus
CMM[_hof,caus
CMM[_nif,
CMM[_qal,
CWB[_hif,caus
CWB[_hof,caus
CWB[_nif,
CWB[_qal,
GLH[_piel,caus
GLH[_qal,?
HLK[_hif,caus
HLK[_hof,caus
HLK[_nif,
HLK[_qal,
JCB[_hif,caus
JCB[_hof,caus
JCB[_nif,
JCB[_qal,
JSP[_hif,caus
JSP[_qal,caus
JY>[_hif,caus
JY>[_hof,caus
JY>[_nif,
JY>[_qal,
JYQ[_hif,caus
JYQ[_qal,caus
KLH[_piel,caus
KLH[_qal,
KRT[_hif,caus
KRT[_qal,?
LQV[_piel,caus
LQV[_qal,caus
M<V[_hif,caus
M<V[_hof,caus
M<V[_nif,
M<V[_qal,
ML>[_piel,caus
ML>[_qal,
MWT[_hif,caus
MWT[_hof,caus
MWT[_nif,
MWT[_qal,
NF>[_hif,caus
NF>[_hof,caus
NF>[_nif,
NF>[_qal,
NWX[_hif,caus
NWX[_hof,caus
NWX[_nif,
NWX[_qal,
PQD[_hif,caus
PQD[_qal,caus
PRH[_hif,caus
PRH[_hof,caus
PRH[_nif,
PRH[_qal,
QDC[_hif,caus
QDC[_hof,caus
QDC[_nif,
QDC[_piel,caus
QDC[_pual,caus
QDC[_qal,
QLL[_piel,
QLL[_qal,
QRB[_hif,caus
QRB[_hof,caus
QRB[_nif,
QRB[_qal,
QWM[_hif,caus
QWM[_hof,caus
QWM[_nif,
QWM[_qal,
RB<=[_hif,caus
RB<=[_qal,
RBH[_hif,caus
RBH[_hof,caus
RBH[_nif,
RBH[_qal,
RWM[_hif,caus
RWM[_hof,caus
RWM[_nif,
RWM[_qal,
VM>[_nif,
VM>[_piel,caus
VM>[_pual,caus
VM>[_qal,
ZNH[_hif,caus
ZNH[_hof,caus
ZNH[_nif,
ZNH[_qal,
ZRH[_piel,caus
ZRH[_qal,caus
